,class-0,class-1,class-2
HSD3BP4,0.0,1.0,0.0
HSF4,0.0,1.0,0.0
HSP90AA1,0.0,1.0,0.0
HSP90B1,0.0,1.0,0.0
HSPA1A,0.0,1.0,0.0
HSPA1B,0.0,1.0,0.0
HSPB1,0.0,1.0,0.0
HSPG2,0.0,1.0,0.0
HTR1A,0.0,1.0,0.0
HTR2C,0.0,1.0,0.0
HTR3A,0.0,1.0,0.0
HTR3B,0.0,1.0,0.0
HTR4,0.0,1.0,0.0
HTR5A,0.0,1.0,0.0
HTR7,0.0,1.0,0.0
HTRA2,0.0,1.0,0.0
HTRA4,0.0,1.0,0.0
HTT,0.0,1.0,0.0
HYAL3,0.0,1.0,0.0
HYPK,0.0,1.0,0.0
IARS,0.0,1.0,0.0
ICAM1,0.0,1.0,0.0
ICAM4,0.0,1.0,0.0
ICAM5,0.0,1.0,0.0
ICMT,0.0,1.0,0.0
ID3,0.0,1.0,0.0
ID4,0.0,1.0,0.0
IDE,0.0,1.0,0.0
IDS,0.0,1.0,0.0
IFI16,0.0,1.0,0.0
IFIH1,0.0,1.0,0.0
IFNA1,0.0,1.0,0.0
IFNA13,0.0,1.0,0.0
IFNA5,0.0,1.0,0.0
IFNGR2,0.0,1.0,0.0
IFNK,0.0,1.0,0.0
IFNLR1,0.0,1.0,0.0
IFNW1,0.0,1.0,0.0
IFRD2,0.0,1.0,0.0
IFT20,0.0,1.0,0.0
IFT27,0.0,1.0,0.0
IFT46,0.0,1.0,0.0
IGDCC4,0.0,1.0,0.0
IGF1,0.0,1.0,0.0
IGF2,0.0,1.0,0.0
IGF2BP1,0.0,1.0,0.0
IGF2R,0.0,1.0,0.0
IGFBP1,0.0,1.0,0.0
IGFBP4,0.0,1.0,0.0
IGFBP5,0.0,1.0,0.0
IGHMBP2,0.0,1.0,0.0
IGLL1,0.0,1.0,0.0
IGSF8,0.0,1.0,0.0
IHH,0.0,1.0,0.0
ELP1,0.0,1.0,0.0
IKBKB,0.0,1.0,0.0
IL10RB,0.0,1.0,0.0
IL11,0.0,1.0,0.0
IL11RA,0.0,1.0,0.0
IL12A,0.0,1.0,0.0
IL12RB2,0.0,1.0,0.0
IL13,0.0,1.0,0.0
IL17A,0.0,1.0,0.0
IL17C,0.0,1.0,0.0
IL17F,0.0,1.0,0.0
IL17RB,0.0,1.0,0.0
IL17RC,0.0,1.0,0.0
IL17RD,0.0,1.0,0.0
IL18R1,0.0,1.0,0.0
IL1B,0.0,1.0,0.0
IL1R1,0.0,1.0,0.0
IL1RAPL1,0.0,1.0,0.0
IL1RL1,0.0,1.0,0.0
IL2,0.0,1.0,0.0
IL22RA1,0.0,1.0,0.0
IL22RA2,0.0,1.0,0.0
IL24,0.0,1.0,0.0
IL31RA,0.0,1.0,0.0
IL32,0.0,1.0,0.0
IL36B,0.0,1.0,0.0
IL3RA,0.0,1.0,0.0
IL4I1,0.0,1.0,0.0
IL5,0.0,1.0,0.0
IL5RA,0.0,1.0,0.0
IL6,0.0,1.0,0.0
IL7,0.0,1.0,0.0
IL7R,0.0,1.0,0.0
IL9R,0.0,1.0,0.0
ILDR1,0.0,1.0,0.0
IMMP2L,0.0,1.0,0.0
IMPDH1,0.0,1.0,0.0
ING1,0.0,1.0,0.0
ING2,0.0,1.0,0.0
ING5,0.0,1.0,0.0
INHBB,0.0,1.0,0.0
INHBE,0.0,1.0,0.0
INMT,0.0,1.0,0.0
INPP1,0.0,1.0,0.0
INPP4A,0.0,1.0,0.0
INPP5A,0.0,1.0,0.0
INPP5K,0.0,1.0,0.0
INSM1,0.0,1.0,0.0
INSR,0.0,1.0,0.0
INTS6,0.0,1.0,0.0
IP6K2,0.0,1.0,0.0
IQGAP3,0.0,1.0,0.0
IRAK4,0.0,1.0,0.0
IRF2BP1,0.0,1.0,0.0
IRF2BP2,0.0,1.0,0.0
IRS2,0.0,1.0,0.0
IRX2,0.0,1.0,0.0
IRX5,0.0,1.0,0.0
IRX6,0.0,1.0,0.0
ISG15,0.0,1.0,0.0
ISX,0.0,1.0,0.0
ITGA10,0.0,1.0,0.0
ITGA2B,0.0,1.0,0.0
ITGA4,0.0,1.0,0.0
ITGA7,0.0,1.0,0.0
ITGA8,0.0,1.0,0.0
ITGAE,0.0,1.0,0.0
ITGAV,0.0,1.0,0.0
ITGB4,0.0,1.0,0.0
ITGB5,0.0,1.0,0.0
ITM2B,0.0,1.0,0.0
ITPA,0.0,1.0,0.0
ITPK1,0.0,1.0,0.0
ITPR1,0.0,1.0,0.0
ITPR3,0.0,1.0,0.0
ITSN1,0.0,1.0,0.0
ITSN2,0.0,1.0,0.0
IVD,0.0,1.0,0.0
JADE1,0.0,1.0,0.0
JAG2,0.0,1.0,0.0
JAK3,0.0,1.0,0.0
JARID2,0.0,1.0,0.0
JDP2,0.0,1.0,0.0
JPH3,0.0,1.0,0.0
JTB,0.0,1.0,0.0
JUN,0.0,1.0,0.0
JUNB,0.0,1.0,0.0
ANOS1,0.0,1.0,0.0
KALRN,0.0,1.0,0.0
KARS,0.0,1.0,0.0
KAT6A,0.0,1.0,0.0
KAT8,0.0,1.0,0.0
KATNB1,0.0,1.0,0.0
KCNAB2,0.0,1.0,0.0
KCNB2,0.0,1.0,0.0
KCNC1,0.0,1.0,0.0
KCNC2,0.0,1.0,0.0
KCNC3,0.0,1.0,0.0
KCND3,0.0,1.0,0.0
KCNE2,0.0,1.0,0.0
KCNE3,0.0,1.0,0.0
KCNE4,0.0,1.0,0.0
KCNG4,0.0,1.0,0.0
KCNH1,0.0,1.0,0.0
KCNH4,0.0,1.0,0.0
KCNH5,0.0,1.0,0.0
KCNH6,0.0,1.0,0.0
KCNIP1,0.0,1.0,0.0
KCNJ3,0.0,1.0,0.0
KCNJ4,0.0,1.0,0.0
KCNJ8,0.0,1.0,0.0
KCNJ9,0.0,1.0,0.0
KCNK16,0.0,1.0,0.0
KCNK2,0.0,1.0,0.0
KCNK4,0.0,1.0,0.0
KCNK9,0.0,1.0,0.0
KCNMB4,0.0,1.0,0.0
KCNN4,0.0,1.0,0.0
KCNQ1,0.0,1.0,0.0
KCNQ2,0.0,1.0,0.0
KCNS3,0.0,1.0,0.0
KCNT1,0.0,1.0,0.0
KCNT2,0.0,1.0,0.0
KCNV1,0.0,1.0,0.0
KCNV2,0.0,1.0,0.0
KCTD1,0.0,1.0,0.0
KCTD12,0.0,1.0,0.0
KCTD13,0.0,1.0,0.0
KCTD4,0.0,1.0,0.0
KCTD5,0.0,1.0,0.0
KCTD6,0.0,1.0,0.0
KCTD9,0.0,1.0,0.0
KDM3A,0.0,1.0,0.0
KDM3B,0.0,1.0,0.0
KDM4C,0.0,1.0,0.0
KDM4E,0.0,1.0,0.0
KDM5B,0.0,1.0,0.0
KDM5C,0.0,1.0,0.0
KDM5D,0.0,1.0,0.0
KEL,0.0,1.0,0.0
KIAA1549,0.0,1.0,0.0
KIDINS220,0.0,1.0,0.0
KIF13B,0.0,1.0,0.0
KIF14,0.0,1.0,0.0
KIF15,0.0,1.0,0.0
KIF17,0.0,1.0,0.0
KIF1B,0.0,1.0,0.0
KIF25,0.0,1.0,0.0
KIF27,0.0,1.0,0.0
KIF3C,0.0,1.0,0.0
KIF4A,0.0,1.0,0.0
KIF5A,0.0,1.0,0.0
KIFC1,0.0,1.0,0.0
KIFC2,0.0,1.0,0.0
KIRREL3,0.0,1.0,0.0
KISS1,0.0,1.0,0.0
KIT,0.0,1.0,0.0
KLF12,0.0,1.0,0.0
KLF13,0.0,1.0,0.0
KLF14,0.0,1.0,0.0
KLF15,0.0,1.0,0.0
KLF4,0.0,1.0,0.0
KLF8,0.0,1.0,0.0
KLHL20,0.0,1.0,0.0
KLHL23,0.0,1.0,0.0
KLHL35,0.0,1.0,0.0
KLHL5,0.0,1.0,0.0
KLK1,0.0,1.0,0.0
KLK10,0.0,1.0,0.0
KLK13,0.0,1.0,0.0
KLK14,0.0,1.0,0.0
KLK2,0.0,1.0,0.0
KLK4,0.0,1.0,0.0
KLK7,0.0,1.0,0.0
KLK8,0.0,1.0,0.0
KLK9,0.0,1.0,0.0
KLRB1,0.0,1.0,0.0
KPNA6,0.0,1.0,0.0
KRT18,0.0,1.0,0.0
KRT19,0.0,1.0,0.0
KRT32,0.0,1.0,0.0
KRT40,0.0,1.0,0.0
KRT73,0.0,1.0,0.0
KRT80,0.0,1.0,0.0
KRTAP10-1,0.0,1.0,0.0
KRTAP10-6,0.0,1.0,0.0
KRTAP4-2,0.0,1.0,0.0
KSR1,0.0,1.0,0.0
KSR2,0.0,1.0,0.0
KTN1,0.0,1.0,0.0
KYNU,0.0,1.0,0.0
L1CAM,0.0,1.0,0.0
L3MBTL1,0.0,1.0,0.0
L3MBTL2,0.0,1.0,0.0
LACTB,0.0,1.0,0.0
LAIR2,0.0,1.0,0.0
LAMA3,0.0,1.0,0.0
LAMB3,0.0,1.0,0.0
LAMC2,0.0,1.0,0.0
LAMP2,0.0,1.0,0.0
LANCL1,0.0,1.0,0.0
LANCL2,0.0,1.0,0.0
LASP1,0.0,1.0,0.0
LBHD1,0.0,1.0,0.0
LBR,0.0,1.0,0.0
LBX1,0.0,1.0,0.0
LCN1,0.0,1.0,0.0
LCN12,0.0,1.0,0.0
LCTL,0.0,1.0,0.0
LDB2,0.0,1.0,0.0
LDHD,0.0,1.0,0.0
LEFTY1,0.0,1.0,0.0
LEPR,0.0,1.0,0.0
LGALS1,0.0,1.0,0.0
LGALS13,0.0,1.0,0.0
LGALS3,0.0,1.0,0.0
LGALS3BP,0.0,1.0,0.0
LGALS7,0.0,1.0,0.0
LGALS7B,0.0,1.0,0.0
LGALS8,0.0,1.0,0.0
LGR4,0.0,1.0,0.0
LGR5,0.0,1.0,0.0
LHPP,0.0,1.0,0.0
LHX2,0.0,1.0,0.0
LHX5,0.0,1.0,0.0
LHX8,0.0,1.0,0.0
LIF,0.0,1.0,0.0
LIG1,0.0,1.0,0.0
LIG4,0.0,1.0,0.0
LILRA3,0.0,1.0,0.0
LIN37,0.0,1.0,0.0
LIN54,0.0,1.0,0.0
LINC01587,0.0,1.0,0.0
LIPE,0.0,1.0,0.0
LIPH,0.0,1.0,0.0
LIPM,0.0,1.0,0.0
LMNA,0.0,1.0,0.0
LMO3,0.0,1.0,0.0
LONRF2,0.0,1.0,0.0
LOXHD1,0.0,1.0,0.0
LOXL2,0.0,1.0,0.0
LOXL3,0.0,1.0,0.0
LOXL4,0.0,1.0,0.0
LPAR1,0.0,1.0,0.0
LPAR2,0.0,1.0,0.0
LPGAT1,0.0,1.0,0.0
ADGRL2,0.0,1.0,0.0
LPP,0.0,1.0,0.0
LRAT,0.0,1.0,0.0
LRMP,0.0,1.0,0.0
LRP1,0.0,1.0,0.0
LRP11,0.0,1.0,0.0
LRP12,0.0,1.0,0.0
LRP1B,0.0,1.0,0.0
LRP2,0.0,1.0,0.0
LRP3,0.0,1.0,0.0
LRP4,0.0,1.0,0.0
LRP6,0.0,1.0,0.0
LRPAP1,0.0,1.0,0.0
LRRC29,0.0,1.0,0.0
LRRC40,0.0,1.0,0.0
LRRK1,0.0,1.0,0.0
LRRK2,0.0,1.0,0.0
LRSAM1,0.0,1.0,0.0
LSS,0.0,1.0,0.0
LTA,0.0,1.0,0.0
LTA4H,0.0,1.0,0.0
LTBP1,0.0,1.0,0.0
LTF,0.0,1.0,0.0
LTN1,0.0,1.0,0.0
LUC7L2,0.0,1.0,0.0
LUC7L3,0.0,1.0,0.0
LY96,0.0,1.0,0.0
LYPLA2,0.0,1.0,0.0
LYPLA2P2,0.0,1.0,0.0
M6PR,0.0,1.0,0.0
MADCAM1,0.0,1.0,0.0
MAEL,0.0,1.0,0.0
MAF,0.0,1.0,0.0
MAFA,0.0,1.0,0.0
MAFF,0.0,1.0,0.0
MAFG,0.0,1.0,0.0
MAFK,0.0,1.0,0.0
MAGEC3,0.0,1.0,0.0
MAGED1,0.0,1.0,0.0
MAGI3,0.0,1.0,0.0
MALT1,0.0,1.0,0.0
MAMDC2,0.0,1.0,0.0
MAML1,0.0,1.0,0.0
MAN1A2,0.0,1.0,0.0
MAN1C1,0.0,1.0,0.0
MAN2B2,0.0,1.0,0.0
MAN2C1,0.0,1.0,0.0
MANBAL,0.0,1.0,0.0
MANEA,0.0,1.0,0.0
MANF,0.0,1.0,0.0
MAP1A,0.0,1.0,0.0
MAP3K11,0.0,1.0,0.0
MAP3K12,0.0,1.0,0.0
MAP3K13,0.0,1.0,0.0
MAP3K2,0.0,1.0,0.0
MAP3K4,0.0,1.0,0.0
MAP3K5,0.0,1.0,0.0
MAP3K7,0.0,1.0,0.0
MAPK10,0.0,1.0,0.0
MAPK12,0.0,1.0,0.0
MAPK13,0.0,1.0,0.0
MAPK15,0.0,1.0,0.0
MAPK7,0.0,1.0,0.0
MAPK8IP1,0.0,1.0,0.0
MAPKAPK3,0.0,1.0,0.0
MAPKAPK5,0.0,1.0,0.0
MARCH2,0.0,1.0,0.0
MARCH7,0.0,1.0,0.0
MARCH8,0.0,1.0,0.0
MARK2,0.0,1.0,0.0
MAS1,0.0,1.0,0.0
MAS1L,0.0,1.0,0.0
MAST1,0.0,1.0,0.0
MAST2,0.0,1.0,0.0
MAST3,0.0,1.0,0.0
MAST4,0.0,1.0,0.0
MAT2B,0.0,1.0,0.0
MBD1,0.0,1.0,0.0
MBD3,0.0,1.0,0.0
MBD4,0.0,1.0,0.0
MBD5,0.0,1.0,0.0
MBD6,0.0,1.0,0.0
MBIP,0.0,1.0,0.0
MBOAT1,0.0,1.0,0.0
MBTPS1,0.0,1.0,0.0
MBTPS2,0.0,1.0,0.0
MC2R,0.0,1.0,0.0
MC5R,0.0,1.0,0.0
MCEE,0.0,1.0,0.0
MCHR2,0.0,1.0,0.0
MCTP2,0.0,1.0,0.0
MDFI,0.0,1.0,0.0
MDGA2,0.0,1.0,0.0
MDK,0.0,1.0,0.0
ME3,0.0,1.0,0.0
MECP2,0.0,1.0,0.0
MED17,0.0,1.0,0.0
MED18,0.0,1.0,0.0
MED21,0.0,1.0,0.0
MED4,0.0,1.0,0.0
MED6,0.0,1.0,0.0
MEF2C,0.0,1.0,0.0
MEGF6,0.0,1.0,0.0
MEGF8,0.0,1.0,0.0
MEGF9,0.0,1.0,0.0
MEN1,0.0,1.0,0.0
MEOX1,0.0,1.0,0.0
MEP1A,0.0,1.0,0.0
MERTK,0.0,1.0,0.0
MESP1,0.0,1.0,0.0
METTL1,0.0,1.0,0.0
MFAP1,0.0,1.0,0.0
MELTF,0.0,1.0,0.0
MFSD1,0.0,1.0,0.0
MGAM,0.0,1.0,0.0
MGAT4B,0.0,1.0,0.0
MGAT5B,0.0,1.0,0.0
MIB1,0.0,1.0,0.0
MIB2,0.0,1.0,0.0
MICAL3,0.0,1.0,0.0
MICB,0.0,1.0,0.0
MIS18BP1,0.0,1.0,0.0
MITF,0.0,1.0,0.0
MIXL1,0.0,1.0,0.0
MKRN2,0.0,1.0,0.0
MLC1,0.0,1.0,0.0
MLEC,0.0,1.0,0.0
MLH1,0.0,1.0,0.0
MLH3,0.0,1.0,0.0
MLLT10,0.0,1.0,0.0
MLN,0.0,1.0,0.0
MLST8,0.0,1.0,0.0
MLX,0.0,1.0,0.0
MLYCD,0.0,1.0,0.0
MMD2,0.0,1.0,0.0
MME,0.0,1.0,0.0
MMEL1,0.0,1.0,0.0
MMP12,0.0,1.0,0.0
MMP16,0.0,1.0,0.0
MMP19,0.0,1.0,0.0
MMP2,0.0,1.0,0.0
MMP20,0.0,1.0,0.0
MMP21,0.0,1.0,0.0
MMP23A,0.0,1.0,0.0
MMP24,0.0,1.0,0.0
MMP25,0.0,1.0,0.0
MMP26,0.0,1.0,0.0
MMP8,0.0,1.0,0.0
MNDA,0.0,1.0,0.0
MNT,0.0,1.0,0.0
MNX1,0.0,1.0,0.0
MOGAT1,0.0,1.0,0.0
MOGS,0.0,1.0,0.0
MOK,0.0,1.0,0.0
MORC1,0.0,1.0,0.0
MORC3,0.0,1.0,0.0
MOS,0.0,1.0,0.0
MOV10,0.0,1.0,0.0
MPHOSPH9,0.0,1.0,0.0
MPL,0.0,1.0,0.0
MPP2,0.0,1.0,0.0
MPP6,0.0,1.0,0.0
MPPED1,0.0,1.0,0.0
MPRIP,0.0,1.0,0.0
MPST,0.0,1.0,0.0
MRAS,0.0,1.0,0.0
MRC2,0.0,1.0,0.0
MRE11,0.0,1.0,0.0
MRGPRX1,0.0,1.0,0.0
MRGPRX3,0.0,1.0,0.0
MRGPRX4,0.0,1.0,0.0
MRPL12,0.0,1.0,0.0
MRPS21,0.0,1.0,0.0
MS4A14,0.0,1.0,0.0
MSC,0.0,1.0,0.0
MSGN1,0.0,1.0,0.0
MSH2,0.0,1.0,0.0
MSI1,0.0,1.0,0.0
MSL2,0.0,1.0,0.0
MSRA,0.0,1.0,0.0
MSRB1,0.0,1.0,0.0
MSRB2,0.0,1.0,0.0
MST1R,0.0,1.0,0.0
MT3,0.0,1.0,0.0
MTA1,0.0,1.0,0.0
MTAP,0.0,1.0,0.0
MTG2,0.0,1.0,0.0
MTHFR,0.0,1.0,0.0
MTM1,0.0,1.0,0.0
MTMR1,0.0,1.0,0.0
MTMR10,0.0,1.0,0.0
MTMR14,0.0,1.0,0.0
MTMR2,0.0,1.0,0.0
MTMR4,0.0,1.0,0.0
MTR,0.0,1.0,0.0
MTRR,0.0,1.0,0.0
MTX2,0.0,1.0,0.0
MUC2,0.0,1.0,0.0
MUSK,0.0,1.0,0.0
MVK,0.0,1.0,0.0
MX2,0.0,1.0,0.0
MXD3,0.0,1.0,0.0
MYBL1,0.0,1.0,0.0
MYBPH,0.0,1.0,0.0
MYCBP2,0.0,1.0,0.0
MYEF2,0.0,1.0,0.0
MYF6,0.0,1.0,0.0
MYL5,0.0,1.0,0.0
MYL6B,0.0,1.0,0.0
MYL7,0.0,1.0,0.0
MYLIP,0.0,1.0,0.0
MYLK2,0.0,1.0,0.0
MYLK3,0.0,1.0,0.0
MYLPF,0.0,1.0,0.0
MYNN,0.0,1.0,0.0
MYO1B,0.0,1.0,0.0
MYOD1,0.0,1.0,0.0
NADK,0.0,1.0,0.0
NAE1,0.0,1.0,0.0
NAGA,0.0,1.0,0.0
NALCN,0.0,1.0,0.0
NAPB,0.0,1.0,0.0
NARF,0.0,1.0,0.0
NARS,0.0,1.0,0.0
NAT1,0.0,1.0,0.0
NAT6,0.0,1.0,0.0
NCCRP1,0.0,1.0,0.0
NCF2,0.0,1.0,0.0
NCOA4,0.0,1.0,0.0
NCOA7,0.0,1.0,0.0
NDN,0.0,1.0,0.0
NDOR1,0.0,1.0,0.0
NDST1,0.0,1.0,0.0
NDST2,0.0,1.0,0.0
NDST3,0.0,1.0,0.0
NDUFA12,0.0,1.0,0.0
NDUFA13,0.0,1.0,0.0
NDUFA2,0.0,1.0,0.0
NDUFA3,0.0,1.0,0.0
NDUFA5,0.0,1.0,0.0
NDUFA6,0.0,1.0,0.0
NDUFA7,0.0,1.0,0.0
NDUFA9,0.0,1.0,0.0
NDUFAF2,0.0,1.0,0.0
NDUFB1,0.0,1.0,0.0
NDUFB4,0.0,1.0,0.0
NDUFB5,0.0,1.0,0.0
NDUFB6,0.0,1.0,0.0
NDUFB8,0.0,1.0,0.0
NDUFB9,0.0,1.0,0.0
NDUFC1,0.0,1.0,0.0
NDUFC2,0.0,1.0,0.0
NDUFC2-KCTD14,0.0,1.0,0.0
NDUFS4,0.0,1.0,0.0
NDUFS5,0.0,1.0,0.0
NDUFV3,0.0,1.0,0.0
NECAB1,0.0,1.0,0.0
NEDD4L,0.0,1.0,0.0
NEIL1,0.0,1.0,0.0
NEIL2,0.0,1.0,0.0
NEK1,0.0,1.0,0.0
NEK11,0.0,1.0,0.0
NEK2,0.0,1.0,0.0
NEK5,0.0,1.0,0.0
NEK6,0.0,1.0,0.0
NEK8,0.0,1.0,0.0
NELL1,0.0,1.0,0.0
NEU1,0.0,1.0,0.0
NEUROD2,0.0,1.0,0.0
NEUROD4,0.0,1.0,0.0
NEUROD6,0.0,1.0,0.0
NEUROG1,0.0,1.0,0.0
NF2,0.0,1.0,0.0
NFATC2,0.0,1.0,0.0
NFE2L1,0.0,1.0,0.0
NFE2L2,0.0,1.0,0.0
NFIC,0.0,1.0,0.0
NFIX,0.0,1.0,0.0
NFKB2,0.0,1.0,0.0
NFX1,0.0,1.0,0.0
NFYA,0.0,1.0,0.0
NFYB,0.0,1.0,0.0
NFYC,0.0,1.0,0.0
NHLRC1,0.0,1.0,0.0
NID1,0.0,1.0,0.0
NID2,0.0,1.0,0.0
NINJ1,0.0,1.0,0.0
NINL,0.0,1.0,0.0
NKIRAS1,0.0,1.0,0.0
NKX1-1,0.0,1.0,0.0
NKX2-2,0.0,1.0,0.0
NKX2-3,0.0,1.0,0.0
NKX2-8,0.0,1.0,0.0
NKX3-2,0.0,1.0,0.0
NKX6-2,0.0,1.0,0.0
NKX6-3,0.0,1.0,0.0
NLGN1,0.0,1.0,0.0
NLGN4X,0.0,1.0,0.0
NLN,0.0,1.0,0.0
NMBR,0.0,1.0,0.0
NME1-NME2,0.0,1.0,0.0
NME2,0.0,1.0,0.0
NME3,0.0,1.0,0.0
NME4,0.0,1.0,0.0
NME8,0.0,1.0,0.0
NME9,0.0,1.0,0.0
NMRAL1,0.0,1.0,0.0
NMUR2,0.0,1.0,0.0
NOD2,0.0,1.0,0.0
NODAL,0.0,1.0,0.0
NOG,0.0,1.0,0.0
NOS1AP,0.0,1.0,0.0
NOS2,0.0,1.0,0.0
NOTCH1,0.0,1.0,0.0
NOTCH3,0.0,1.0,0.0
NOV,0.0,1.0,0.0
NOVA1,0.0,1.0,0.0
NOX1,0.0,1.0,0.0
NOXA1,0.0,1.0,0.0
NPBWR1,0.0,1.0,0.0
NPBWR2,0.0,1.0,0.0
NPEPL1,0.0,1.0,0.0
NPEPPS,0.0,1.0,0.0
NPFFR2,0.0,1.0,0.0
NPHP1,0.0,1.0,0.0
NPHP3-ACAD11,0.0,1.0,0.0
NPHP4,0.0,1.0,0.0
NPR1,0.0,1.0,0.0
NPSR1,0.0,1.0,0.0
NPTN,0.0,1.0,0.0
NPTX1,0.0,1.0,0.0
NPTX2,0.0,1.0,0.0
NPVF,0.0,1.0,0.0
NPY4R,0.0,1.0,0.0
NQO2,0.0,1.0,0.0
NR1D2,0.0,1.0,0.0
NR1H2,0.0,1.0,0.0
NR1H3,0.0,1.0,0.0
NR1I2,0.0,1.0,0.0
NR2E1,0.0,1.0,0.0
NR2F1,0.0,1.0,0.0
NR2F6,0.0,1.0,0.0
NR3C1,0.0,1.0,0.0
NR3C2,0.0,1.0,0.0
NR6A1,0.0,1.0,0.0
NRBF2,0.0,1.0,0.0
NRGN,0.0,1.0,0.0
NRK,0.0,1.0,0.0
NSD1,0.0,1.0,0.0
NSDHL,0.0,1.0,0.0
NSRP1,0.0,1.0,0.0
NT5C1A,0.0,1.0,0.0
NT5C2,0.0,1.0,0.0
NT5C3A,0.0,1.0,0.0
NTF3,0.0,1.0,0.0
NTRK1,0.0,1.0,0.0
NUCB1,0.0,1.0,0.0
NUDT1,0.0,1.0,0.0
NUDT11,0.0,1.0,0.0
NUDT15,0.0,1.0,0.0
NUDT3,0.0,1.0,0.0
NUDT6,0.0,1.0,0.0
NUDT8,0.0,1.0,0.0
NUP153,0.0,1.0,0.0
NXF2,0.0,1.0,0.0
NXF2B,0.0,1.0,0.0
NXNL1,0.0,1.0,0.0
OAF,0.0,1.0,0.0
OAS1,0.0,1.0,0.0
OAS2,0.0,1.0,0.0
OAT,0.0,1.0,0.0
OAZ3,0.0,1.0,0.0
OC90,0.0,1.0,0.0
OCA2,0.0,1.0,0.0
OCM,0.0,1.0,0.0
OCM2,0.0,1.0,0.0
OCRL,0.0,1.0,0.0
OGFOD2,0.0,1.0,0.0
OGG1,0.0,1.0,0.0
OLFML2B,0.0,1.0,0.0
OLIG1,0.0,1.0,0.0
OLIG2,0.0,1.0,0.0
OLIG3,0.0,1.0,0.0
OLR1,0.0,1.0,0.0
OMG,0.0,1.0,0.0
ONECUT2,0.0,1.0,0.0
OPA1,0.0,1.0,0.0
OPN1SW,0.0,1.0,0.0
OPN3,0.0,1.0,0.0
OPN5,0.0,1.0,0.0
OPRD1,0.0,1.0,0.0
OPRL1,0.0,1.0,0.0
OR10A5,0.0,1.0,0.0
OR10H2,0.0,1.0,0.0
OR10J1,0.0,1.0,0.0
OR10K2,0.0,1.0,0.0
OR10S1,0.0,1.0,0.0
OR12D2,0.0,1.0,0.0
OR1A2,0.0,1.0,0.0
OR1D2,0.0,1.0,0.0
OR1E1,0.0,1.0,0.0
OR1E2,0.0,1.0,0.0
OR1L4,0.0,1.0,0.0
OR1L6,0.0,1.0,0.0
OR2A4,0.0,1.0,0.0
OR2A7,0.0,1.0,0.0
OR2B2,0.0,1.0,0.0
OR2F1,0.0,1.0,0.0
OR2J2,0.0,1.0,0.0
OR2L3,0.0,1.0,0.0
OR2S2,0.0,1.0,0.0
OR2T1,0.0,1.0,0.0
OR2T2,0.0,1.0,0.0
OR2T33,0.0,1.0,0.0
OR2T8,0.0,1.0,0.0
OR2W1,0.0,1.0,0.0
OR3A2,0.0,1.0,0.0
OR4C3,0.0,1.0,0.0
OR4D1,0.0,1.0,0.0
OR4D11,0.0,1.0,0.0
OR51B2,0.0,1.0,0.0
OR51E1,0.0,1.0,0.0
OR51E2,0.0,1.0,0.0
OR52A5,0.0,1.0,0.0
OR52B2,0.0,1.0,0.0
OR5AU1,0.0,1.0,0.0
OR5C1,0.0,1.0,0.0
OR5P2,0.0,1.0,0.0
OR5P3,0.0,1.0,0.0
OR5R1,0.0,1.0,0.0
OR6B3,0.0,1.0,0.0
OR7A17,0.0,1.0,0.0
OR7C2,0.0,1.0,0.0
OR7D4,0.0,1.0,0.0
OR7E91P,0.0,1.0,0.0
OR8G5,0.0,1.0,0.0
OR8U1,0.0,1.0,0.0
OR8U8,0.0,1.0,0.0
OR8U9,0.0,1.0,0.0
OSR2,0.0,1.0,0.0
OTX2,0.0,1.0,0.0
OVCA2,0.0,1.0,0.0
OVCH1,0.0,1.0,0.0
OVOL2,0.0,1.0,0.0
OXCT1,0.0,1.0,0.0
OXCT2,0.0,1.0,0.0
OXSM,0.0,1.0,0.0
P2RX1,0.0,1.0,0.0
P2RX5,0.0,1.0,0.0
P2RX6,0.0,1.0,0.0
P2RY1,0.0,1.0,0.0
P2RY11,0.0,1.0,0.0
P2RY12,0.0,1.0,0.0
P2RY13,0.0,1.0,0.0
P2RY4,0.0,1.0,0.0
P2RY6,0.0,1.0,0.0
P2RY8,0.0,1.0,0.0
P3H1,0.0,1.0,0.0
P3H2,0.0,1.0,0.0
P4HTM,0.0,1.0,0.0
PA2G4,0.0,1.0,0.0
PA2G4P4,0.0,1.0,0.0
PABPC4,0.0,1.0,0.0
PAFAH1B3,0.0,1.0,0.0
PAFAH2,0.0,1.0,0.0
PAGE5,0.0,1.0,0.0
PAH,0.0,1.0,0.0
PAK2,0.0,1.0,0.0
PAK3,0.0,1.0,0.0
PAK6,0.0,1.0,0.0
PAK5,0.0,1.0,0.0
PAN2,0.0,1.0,0.0
PANK3,0.0,1.0,0.0
PAPD7,0.0,1.0,0.0
PAPOLA,0.0,1.0,0.0
PAPPA2,0.0,1.0,0.0
PAQR3,0.0,1.0,0.0
PAQR4,0.0,1.0,0.0
PARG,0.0,1.0,0.0
PRKN,0.0,1.0,0.0
PARL,0.0,1.0,0.0
PARP1,0.0,1.0,0.0
PARP11,0.0,1.0,0.0
PARP3,0.0,1.0,0.0
PATE1,0.0,1.0,0.0
PATZ1,0.0,1.0,0.0
PAX2,0.0,1.0,0.0
PAX3,0.0,1.0,0.0
PAX6,0.0,1.0,0.0
