,class-0,class-1,class-2
CCT5,0.0,0.0,1.0
CCT6A,0.0,0.0,1.0
CD151,0.0,0.0,1.0
CD28,0.0,0.0,1.0
CD52,0.0,0.0,1.0
CD6,0.0,0.0,1.0
CDC23,0.0,0.0,1.0
CDC37,0.0,0.0,1.0
CDC40,0.0,0.0,1.0
CDC5L,0.0,0.0,1.0
CDC7,0.0,0.0,1.0
CDCA8,0.0,0.0,1.0
CDH20,0.0,0.0,1.0
CDIPT,0.0,0.0,1.0
CDK1,0.0,0.0,1.0
CDK11A,0.0,0.0,1.0
CDK11B,0.0,0.0,1.0
CDK13,0.0,0.0,1.0
CDK2AP2,0.0,0.0,1.0
CDK9,0.0,0.0,1.0
CDKN1A,0.0,0.0,1.0
CELF1,0.0,0.0,1.0
CELP,0.0,0.0,1.0
CENPF,0.0,0.0,1.0
CENPH,0.0,0.0,1.0
CEP55,0.0,0.0,1.0
CERS3,0.0,0.0,1.0
CFL1,0.0,0.0,1.0
CFTR,0.0,0.0,1.0
CHAF1A,0.0,0.0,1.0
CHAF1B,0.0,0.0,1.0
CHD4,0.0,0.0,1.0
CHD8,0.0,0.0,1.0
CHDH,0.0,0.0,1.0
CHEK1,0.0,0.0,1.0
CHERP,0.0,0.0,1.0
CHI3L2,0.0,0.0,1.0
CHKA,0.0,0.0,1.0
CHRM2,0.0,0.0,1.0
CHST9,0.0,0.0,1.0
CHTF18,0.0,0.0,1.0
CINP,0.0,0.0,1.0
CIRBP,0.0,0.0,1.0
UTP4,0.0,0.0,1.0
CKAP5,0.0,0.0,1.0
CLDN18,0.0,0.0,1.0
CLDN4,0.0,0.0,1.0
CLK1,0.0,0.0,1.0
CLNS1A,0.0,0.0,1.0
CLPB,0.0,0.0,1.0
CLPP,0.0,0.0,1.0
CLTB,0.0,0.0,1.0
CLTC,0.0,0.0,1.0
CLYBL,0.0,0.0,1.0
CMPK1,0.0,0.0,1.0
CNOT4,0.0,0.0,1.0
COPA,0.0,0.0,1.0
COPB2,0.0,0.0,1.0
COPE,0.0,0.0,1.0
COPS2,0.0,0.0,1.0
COPS5,0.0,0.0,1.0
COPS6,0.0,0.0,1.0
COPS8,0.0,0.0,1.0
COPZ1,0.0,0.0,1.0
COQ2,0.0,0.0,1.0
CORT,0.0,0.0,1.0
COX11,0.0,0.0,1.0
COX4I1,0.0,0.0,1.0
COX5A,0.0,0.0,1.0
COX6A1,0.0,0.0,1.0
COX7B,0.0,0.0,1.0
COX7C,0.0,0.0,1.0
CPSF3,0.0,0.0,1.0
CPSF4,0.0,0.0,1.0
CPSF6,0.0,0.0,1.0
CPXM1,0.0,0.0,1.0
CRNKL1,0.0,0.0,1.0
CRYGD,0.0,0.0,1.0
CRYZ,0.0,0.0,1.0
CS,0.0,0.0,1.0
CSE1L,0.0,0.0,1.0
CSF2RA,0.0,0.0,1.0
CSF2RB,0.0,0.0,1.0
CSF3R,0.0,0.0,1.0
CSNK1A1,0.0,0.0,1.0
CSNK1D,0.0,0.0,1.0
CSNK2B,0.0,0.0,1.0
CSTF3,0.0,0.0,1.0
CTCF,0.0,0.0,1.0
CTNNBIP1,0.0,0.0,1.0
CTNNBL1,0.0,0.0,1.0
CTR9,0.0,0.0,1.0
CTRB1,0.0,0.0,1.0
CTRB2,0.0,0.0,1.0
CUL1,0.0,0.0,1.0
CUL7,0.0,0.0,1.0
CWC15,0.0,0.0,1.0
CWC22,0.0,0.0,1.0
CWF19L1,0.0,0.0,1.0
CXCL6,0.0,0.0,1.0
CYB561,0.0,0.0,1.0
CYB561D1,0.0,0.0,1.0
CYC1,0.0,0.0,1.0
CYP11B2,0.0,0.0,1.0
CYP21A1P,0.0,0.0,1.0
CYP21A2,0.0,0.0,1.0
CYP2A13,0.0,0.0,1.0
CYP4A11,0.0,0.0,1.0
CYP7A1,0.0,0.0,1.0
DARS,0.0,0.0,1.0
DBF4,0.0,0.0,1.0
DCAKD,0.0,0.0,1.0
DCHS1,0.0,0.0,1.0
DCTN1,0.0,0.0,1.0
DCTN3,0.0,0.0,1.0
DCTN4,0.0,0.0,1.0
DDB1,0.0,0.0,1.0
DDOST,0.0,0.0,1.0
DDX17,0.0,0.0,1.0
DDX18,0.0,0.0,1.0
DDX19A,0.0,0.0,1.0
DDX21,0.0,0.0,1.0
DDX27,0.0,0.0,1.0
DDX39B,0.0,0.0,1.0
DDX3X,0.0,0.0,1.0
DDX41,0.0,0.0,1.0
DDX46,0.0,0.0,1.0
DDX47,0.0,0.0,1.0
DDX5,0.0,0.0,1.0
DDX51,0.0,0.0,1.0
DDX52,0.0,0.0,1.0
DDX54,0.0,0.0,1.0
DDX6,0.0,0.0,1.0
DEFA5,0.0,0.0,1.0
DEGS2,0.0,0.0,1.0
DES,0.0,0.0,1.0
DGKD,0.0,0.0,1.0
DHCR24,0.0,0.0,1.0
DHCR7,0.0,0.0,1.0
DHDDS,0.0,0.0,1.0
DHH,0.0,0.0,1.0
DHODH,0.0,0.0,1.0
DHPS,0.0,0.0,1.0
DHX15,0.0,0.0,1.0
DHX16,0.0,0.0,1.0
DHX30,0.0,0.0,1.0
DHX37,0.0,0.0,1.0
DHX38,0.0,0.0,1.0
DHX8,0.0,0.0,1.0
DHX9,0.0,0.0,1.0
DIDO1,0.0,0.0,1.0
DIMT1,0.0,0.0,1.0
